,0-2,2-4,4-6,6-8,8-10,10-12,12-14,14-16,16-18,18-20,20-22,22-24
home,96.9,95.1,85.7,68.7,66.1,69.8,76.7,84.8,88.8,94.1,96.9,97.7
education,0,0,0.3,0.7,0.6,0.4,0.2,0.1,0.1,0,0,0
other,3.1,3.9,7.7,14.6,11.1,8.6,10.1,5.7,3.8,2.7,2,1.8
shop,0,0,0.8,3.1,4.6,2.8,1.7,0.5,0.1,0,0,0
recreation,0,0.1,2.6,8.2,12.9,14.4,8.8,8,6.6,2.8,1,0.4
work,0,0.8,2.8,4.7,4.7,4,2.5,1,0.5,0.3,0.2,0.1
